非车辆原因故障
,车辆编组违反编组规定
,车辆搭载异物
,非车辆原因其他故障
故障
,车体
,,地板
,,交叉杆支撑装置
,,,安全链脱落
,,,安全链折断
,,,安全索丢失
,,,安全索折断
,,,端部紧固螺栓丢失
,,,夹板螺栓丢失
,,,交叉杆盖板裂损
,,,交叉杆盖板弯曲
,,,交叉杆盖板折断
,,,交叉杆杆体裂损
,,,交叉杆杆体弯曲
,,,交叉杆杆体折断
,,,交叉杆支座破损
,,,交叉支撑装置其他故障
,,,紧固螺母丢失
,,,锁紧板丢失
,,,锁紧板移位
,,承载鞍
,,,承载鞍错位
,,,承载鞍导框挡边折断
,,,承载鞍丢失
,,,承载鞍其他故障
,,轮对径向装置
,,,副构架裂损
,,,光圆销窜出
,,,光圆销丢失
,,,光圆销开口销丢失
,,,光圆销开口销折断
,,,连接杆裂损
,,,轮对径向装置其他故障
,,,橡胶垫裂损
,基础制动
,,制动梁梁体
,,,端轴折断
,,,夹扣丢失
,,,夹扣裂损
,,,夹扣螺母丢失
,,,夹扣螺栓丢失
,,,夹扣螺栓折断
,,,夹扣折断
,,,闸瓦托吊折断
,,,闸瓦托铆钉丢失
,,,闸瓦托铆钉折断
,,,闸瓦托磨损
,,,制动梁安全吊丢失
,,,制动梁安全吊脱落
,,,制动梁安全链丢失
,,,制动梁安全链脱落
,,,制动梁安全链折断
,,,制动梁弓形杆裂损
,,,制动梁弓形杆折断
,,,制动梁梁体变形
,,,制动梁梁体裂损
,,,制动梁梁体其他故障
,,,制动梁梁体脱落
,,,制动梁梁体折断
,,,制动梁支柱裂损
,,,制动梁支柱折断
,,闸瓦
,,,闸瓦插销窜出
,,,闸瓦插销丢失
,,,闸瓦插销折断
,,,闸瓦丢失
,,,闸瓦厚度超限
,,,闸瓦其他故障
,,,闸瓦缺损
,,,闸瓦折断
,,拉杆、杠杆
,,,附加杠杆丢失
,,,附加杠杆托架破损
,,,附加杠杆托架脱落
,,,固定杠杆丢失
,,,固定杠杆支点丢失
,,,固定杠杆支点折断
,,,拉杆、杠杆其他故障
,,,连接杠杆丢失
,,,连接杠杆托架破损
,,,连接杠杆托架脱落
,,,连接杠杆折断
,,,上拉杆窜出
,,,上拉杆丢失
,,,上拉杆托架破损
,,,上拉杆托架脱落
,,,上拉杆折断
,,,水平杠杆丢失
,,,水平杠杆折断
,,,下拉杆丢失
,,,下拉杆折断
,,,移动杠杆丢失
,,,闸调器控制杠杆丢失
,,,闸调器控制杠杆托架破损
,,,闸调器控制杠杆托架脱落
,,,闸调器控制杠杆折断
,,,闸调器连接杆丢失
,,,闸调器连接杆折断
,,,制动缸后杠杆丢失
,,,制动缸后杠杆托架破损
,,,制动缸后杠杆托架脱落
,,,制动缸后杠杆折断
,,,制动缸活塞推杆丢失
,,,制动缸前杠杆丢失
,,,制动缸前杠杆托架破损
,,,制动缸前杠杆托架脱落
,,,制动缸前杠杆折断
,,,制动杠杆托架丢失
,,,中拉杆丢失
,,,中拉杆折断
,,圆销
,,,附加杠杆拉铆销丢失
,,,附加杠杆拉铆销套环丢失
,,,附加杠杆拉铆销折断
,,,附加杠杆圆销丢失
,,,附加杠杆圆销折断
,,,固定杠杆支点座拉铆销丢失
,,,固定杠杆支点座拉铆销套环丢失
,,,固定杠杆支点座拉铆销折断
,,,固定杠杆支点座圆销丢失
,,,固定杠杆支点座圆销折断
,,,固定支点拉铆销丢失
,,,固定支点拉铆销套环丢失
,,,固定支点拉铆销折断
,,,固定支点圆销丢失
,,,固定支点圆销折断
,,,连接杠杆拉铆销丢失
,,,连接杠杆拉铆销套环丢失
,,,连接杠杆拉铆销折断
,,,连接杠杆圆销丢失
,,,连接杠杆圆销折断
,,,上拉杆拉铆销丢失
,,,上拉杆拉铆销套环丢失
